packet_id,doc_id,source_url,page_number,block_number,excerpt_id,citation_token,word_count,token_count,x0,y0,x1,y1,text
packet_2,DOC008,https://cdn.ca9.uscourts.gov/datastore/memoranda/2022/11/28/21-56311.pdf,1,1,P001.B01,DOC008.P001.B01,1,2,473.38,55.22,556.04,86.39,FILED
packet_2,DOC008,https://cdn.ca9.uscourts.gov/datastore/memoranda/2022/11/28/21-56311.pdf,1,2,P001.B02,DOC008.P001.B02,3,4,223.13,72.57,392.38,88.11,NOT FOR PUBLICATION
packet_2,DOC008,https://cdn.ca9.uscourts.gov/datastore/memoranda/2022/11/28/21-56311.pdf,1,3,P001.B03,DOC008.P001.B03,3,6,476.74,86.84,551.96,114.02,NOV 28 2022
packet_2,DOC008,https://cdn.ca9.uscourts.gov/datastore/memoranda/2022/11/28/21-56311.pdf,1,4,P001.B04,DOC008.P001.B04,5,9,184.22,88.67,431.26,120.29,UNITED STATES COURT OF APPEALS
packet_2,DOC008,https://cdn.ca9.uscourts.gov/datastore/memoranda/2022/11/28/21-56311.pdf,1,5,P001.B05,DOC008.P001.B05,4,12,456.55,114.27,572.12,134.75,"MOLLY C. DWYER, CLERK"
packet_2,DOC008,https://cdn.ca9.uscourts.gov/datastore/memoranda/2022/11/28/21-56311.pdf,1,6,P001.B06,DOC008.P001.B06,4,8,223.73,120.83,391.78,152.57,FOR THE NINTH CIRCUIT
packet_2,DOC008,https://cdn.ca9.uscourts.gov/datastore/memoranda/2022/11/28/21-56311.pdf,1,7,P001.B07,DOC008.P001.B07,5,9,463.87,135.06,564.42,144.03,U.S. COURT OF APPEALS
packet_2,DOC008,https://cdn.ca9.uscourts.gov/datastore/memoranda/2022/11/28/21-56311.pdf,1,8,P001.B08,DOC008.P001.B08,26,45,72.02,177.11,330.68,257.09,"BRIAN GILE, an individual, on behalf of 
himself and all others similarly situated; 
RANDOLPH GALLEGOS, an individual, on 
behalf of himself and all others similarly 
situated,"
packet_2,DOC008,https://cdn.ca9.uscourts.gov/datastore/memoranda/2022/11/28/21-56311.pdf,1,9,P001.B09,DOC008.P001.B09,10,30,337.63,177.11,481.57,289.4,"No. 
21-56311  
D.C. No.  
5:20-cv-01863-MCS-SP MEMORANDUM *"
packet_2,DOC008,https://cdn.ca9.uscourts.gov/datastore/memoranda/2022/11/28/21-56311.pdf,1,10,P001.B10,DOC008.P001.B10,18,49,72.02,273.86,329.73,498.7,"Plaintiffs-Appellees,  
  v.  
DOLGEN CALIFORNIA, LLC, a Tennessee 
limited liability company, Defendant-Appellant,  
and  
DOES, 1 through 100, inclusive, Defendant."
