packet_id,doc_id,source_url,page_number,block_number,excerpt_id,citation_token,word_count,token_count,x0,y0,x1,y1,text
packet_2,DOC007,https://cdn.ca9.uscourts.gov/datastore/memoranda/2019/12/17/18-55959.pdf,1,1,P001.B01,DOC007.P001.B01,1,2,473.35,55.22,556.04,86.39,FILED
packet_2,DOC007,https://cdn.ca9.uscourts.gov/datastore/memoranda/2019/12/17/18-55959.pdf,1,2,P001.B02,DOC007.P001.B02,3,4,223.13,72.57,392.38,88.11,NOT FOR PUBLICATION
packet_2,DOC007,https://cdn.ca9.uscourts.gov/datastore/memoranda/2019/12/17/18-55959.pdf,1,3,P001.B03,DOC007.P001.B03,3,6,477.07,86.84,551.6,114.02,DEC 17 2019
packet_2,DOC007,https://cdn.ca9.uscourts.gov/datastore/memoranda/2019/12/17/18-55959.pdf,1,4,P001.B04,DOC007.P001.B04,5,9,184.22,88.67,431.26,120.29,UNITED STATES COURT OF APPEALS
packet_2,DOC007,https://cdn.ca9.uscourts.gov/datastore/memoranda/2019/12/17/18-55959.pdf,1,5,P001.B05,DOC007.P001.B05,4,12,456.55,114.27,572.12,134.75,"MOLLY C. DWYER, CLERK"
packet_2,DOC007,https://cdn.ca9.uscourts.gov/datastore/memoranda/2019/12/17/18-55959.pdf,1,6,P001.B06,DOC007.P001.B06,4,8,223.73,120.83,391.78,152.57,FOR THE NINTH CIRCUIT
packet_2,DOC007,https://cdn.ca9.uscourts.gov/datastore/memoranda/2019/12/17/18-55959.pdf,1,7,P001.B07,DOC007.P001.B07,5,9,463.87,135.06,564.42,144.03,U.S. COURT OF APPEALS
packet_2,DOC007,https://cdn.ca9.uscourts.gov/datastore/memoranda/2019/12/17/18-55959.pdf,1,8,P001.B08,DOC007.P001.B08,11,16,72.02,177.35,314.17,208.97,"NED FLORES, individually and on behalf 
of all others similarly situated,"
packet_2,DOC007,https://cdn.ca9.uscourts.gov/datastore/memoranda/2019/12/17/18-55959.pdf,1,9,P001.B09,DOC007.P001.B09,9,26,337.61,177.35,482.38,241.25,"No. 
18-55959  
D.C. No.  
2:15-cv-00076-AB-PLA"
packet_2,DOC007,https://cdn.ca9.uscourts.gov/datastore/memoranda/2019/12/17/18-55959.pdf,1,10,P001.B10,DOC007.P001.B10,5,18,72.02,225.71,273.68,305.6,"Plaintiff-Appellee,  
  v.  
ADIR INTERNATIONAL, LLC,"
packet_2,DOC007,https://cdn.ca9.uscourts.gov/datastore/memoranda/2019/12/17/18-55959.pdf,1,11,P001.B11,DOC007.P001.B11,1,5,337.61,241.79,454.9,289.52,MEMORANDUM *
packet_2,DOC007,https://cdn.ca9.uscourts.gov/datastore/memoranda/2019/12/17/18-55959.pdf,1,12,P001.B12,DOC007.P001.B12,1,5,90.02,322.34,287.24,337.88,Defendant-Appellant.
packet_2,DOC007,https://cdn.ca9.uscourts.gov/datastore/memoranda/2019/12/17/18-55959.pdf,1,13,P001.B13,DOC007.P001.B13,25,39,180.38,362.66,435.1,458.74,"Appeal from the United States District Court for the Central District of California 
Andre Birotte, Jr., District Judge, Presiding Submitted December 10, 2019 ** Pasadena, California"
packet_2,DOC007,https://cdn.ca9.uscourts.gov/datastore/memoranda/2019/12/17/18-55959.pdf,1,14,P001.B14,DOC007.P001.B14,46,73,72.02,459.28,533.25,587.5,"Before:  O’SCANNLAIN, PAEZ, and OWENS, Circuit Judges. Defendant-Appellant Adir International, LLC (Adir) appeals the district court’s denial of its motion to compel arbitration in an action brought by Plaintiff- Appellee Ned Flores (Flores).  “We review de novo the district court’s denial of a"
