packet_id,doc_id,source_url,page_number,block_number,excerpt_id,citation_token,word_count,token_count,x0,y0,x1,y1,text
packet_3,DOC007,https://tile.loc.gov/storage-services/service/ll/usrep/usrep455/usrep455363/usrep455363.pdf,1,1,P001.B01,DOC007.P001.B01,24,64,83.0,56.52,379.5,142.73,HAVENS REALTY  CORP.  v.  COLEMAN Syllabus HAVENS  REALTY  CORP.  ET  AL.  V.  COLEMAN  ET  AL. CERTIORARI  TO  THE UNITED  STATES  COURT  OF  APPEALS  FOR
packet_3,DOC007,https://tile.loc.gov/storage-services/service/ll/usrep/usrep455/usrep455363/usrep455363.pdf,1,2,P001.B02,DOC007.P001.B02,3,7,179.0,148.72,284.4,160.83,THE  FOURTH CIRCUIT
packet_3,DOC007,https://tile.loc.gov/storage-services/service/ll/usrep/usrep455/usrep455363/usrep455363.pdf,1,3,P001.B03,DOC007.P001.B03,99,148,84.0,166.52,381.54,585.43,"No. 80-988. Argued December 1, 1981-Decided February 24, 1982 Section 804 of the Fair Housing Act of 1968 (Act) makes unlawful various forms of discriminatory housing practices. Section 812(a) authorizes civil actions to enforce § 804 and requires that suit be brought within 180 days after the alleged occurrence of a discriminatory practice. A class action for declaratory, injunctive, and monetary relief was brought in Federal District Court against petitioners-Havens Realty Corp. (Ha- vens), an apartment complex owner in a suburb of Richmond, Va., and one of its employees-on the basis of their alleged ""racial steering"" in violation of §"
packet_3,DOC007,https://tile.loc.gov/storage-services/service/ll/usrep/usrep455/usrep455363/usrep455363.pdf,1,4,P001.B04,DOC007.P001.B04,100,125,84.0,166.52,381.54,585.43,"804. The suit was brought by a black person (Coles) who, attempting to rent an apartment from Havens, allegedly was falsely told less than 180 days before suit was instituted that no apartments were available, and by respondents-Housing Opportunities Made Equal (HOME), a nonprofit corporation whose purpose was ""to make equal opportunity in housing a reality in the Richmond Metropolitan Area,"" and two individuals (one black and one white) who were employed by HOME as ""testers"" to determine whether Havens practiced racial steer- ing. The complaint alleged that on specified dates more than 180 days before suit was instituted, the"
packet_3,DOC007,https://tile.loc.gov/storage-services/service/ll/usrep/usrep455/usrep455363/usrep455363.pdf,1,5,P001.B05,DOC007.P001.B05,100,122,84.0,166.52,381.54,585.43,"black tester was told by Havens that no apartments were available, but the white tester was told that there were vacancies. It was also alleged that Havens' practices had deprived the individual plaintiffs (who were residents of Richmond or the adjacent county) of the ""important social, professional, business and economic, po- litical and aesthetic benefits of interracial associations that arise from liv- ing in integrated communities free from discriminatory housing prac- tices""; that Havens' steering practices had frustrated HOME's activities as to housing counseling and referral services, with a consequent drain on resources; and that its members had been deprived"
packet_3,DOC007,https://tile.loc.gov/storage-services/service/ll/usrep/usrep455/usrep455363/usrep455363.pdf,1,6,P001.B06,DOC007.P001.B06,100,128,84.0,166.52,381.54,585.43,"of the benefits of interracial association arising from living in an integrated community free of housing discrimination. On petitioners' pretrial motion, the Dis- trict Court dismissed respondents' claims, holding that they lacked standing and that their claims were barred by the Act's 180-day statute of limitations. The Court of Appeals reversed and remanded. It held that the allegations of injury to the respondents were sufficient to with- stand a motion to dismiss, and that their claims were not time-barred because petitioners' conduct constituted a ""continuing violation"" lasting through the time of the alleged Coles incident, which was within the 180-"
packet_3,DOC007,https://tile.loc.gov/storage-services/service/ll/usrep/usrep455/usrep455363/usrep455363.pdf,1,7,P001.B07,DOC007.P001.B07,5,8,84.0,166.52,381.54,585.43,day period of § 812(a).
packet_3,DOC007,https://tile.loc.gov/storage-services/service/ll/usrep/usrep455/usrep455363/usrep455363.pdf,2,1,P002.B01,DOC007.P002.B01,7,21,168.0,61.32,365.93,96.33,"OCTOBER  TERM,  1981 Syllabus 
455  U.  S."
packet_3,DOC007,https://tile.loc.gov/storage-services/service/ll/usrep/usrep455/usrep455363/usrep455363.pdf,2,2,P002.B02,DOC007.P002.B02,100,134,69.0,106.94,366.75,573.63,"Held: 1. Respondents' claims were not rendered moot by either (1) the Dis- trict Court's entry of a consent order with respect to Coles' claims grant- ing him and the class he represented monetary and injunctive relief, the order having been entered after a trial in which Havens was found to have engaged in unlawful racial steering, or (2) a letter agreement be- tween petitioners and respondents-reached prior to this Court's grant of certiorari-whereby, upon approval by the District Court, respond- ents would each be entitled to $400 in damages and no further relief if this Court were either to"
packet_3,DOC007,https://tile.loc.gov/storage-services/service/ll/usrep/usrep455/usrep455363/usrep455363.pdf,2,3,P002.B03,DOC007.P002.B03,99,135,69.0,106.94,366.75,573.63,"deny certiorari or to grant it and affirm, but to no relief if this Court were to grant certiorari and reverse. Irrespective of the issue of injunctive relief, respondents continue to seek damages to redress alleged violations of the Act. The letter agreement would merely liquidate those damages. Pp. 370-371. 2. The determination of whether each of the respondents has standing to sue is guided by the decision in Gladstone, Realtors v. Village of Bell- wood, 441 U. S. 91, that Congress intended standing under § 812 of the Act to extend to the full limits of Art. III and"
packet_3,DOC007,https://tile.loc.gov/storage-services/service/ll/usrep/usrep455/usrep455363/usrep455363.pdf,2,4,P002.B04,DOC007.P002.B04,100,131,69.0,106.94,366.75,573.63,"that the courts accordingly lack authority to create prudential barriers to standing in suits brought under that section. Thus the sole requirement for standing to sue under § 812 is the Art. III minima of injury in fact-that the plaintiff allege that as a result of the defendant's actions he has suffered ""a distinct and pal- pable injury."" Pp. 372-379. (a) The black individual respondent (Coleman) has standing to sue in her capacity as a ""tester."" Section 804(d) establishes an enforceable right of ""any person"" to truthful information concerning the availability of housing. A tester who has been the object"
packet_3,DOC007,https://tile.loc.gov/storage-services/service/ll/usrep/usrep455/usrep455363/usrep455363.pdf,2,5,P002.B05,DOC007.P002.B05,100,118,69.0,106.94,366.75,573.63,"of a misrepresentation made unlawful under § 804(d) has suffered injury in precisely the form the statute was intended to guard against, and therefore has standing to maintain a damages claim under the Act. That the tester may have ap- proached the real estate agent fully expecting that he would receive false information, and without any intention of buying or renting a home, does not negate the fact of injury within the meaning of § 804(d). If, as al- leged, Coleman was told that apartments were not available while white testers were informed that apartments were available, she has suffered"
packet_3,DOC007,https://tile.loc.gov/storage-services/service/ll/usrep/usrep455/usrep455363/usrep455363.pdf,2,6,P002.B06,DOC007.P002.B06,86,117,69.0,106.94,366.75,573.63,"""specific injury"" from petitioners' challenged acts, and the Art. III re- quirement of injury in fact is satisfied. However, since the white indi- vidual respondent (Willis) alleged that he was informed that apartments were available, rather than that petitioners misrepresented to him that apartments were unavailable, thus alleging no injury to his statutory right to accurate information, he has no standing to sue in his capacity as a tester and, more to the point, has not pleaded a cause of action under § 804(d). Pp. 373-375."
packet_3,DOC007,https://tile.loc.gov/storage-services/service/ll/usrep/usrep455/usrep455363/usrep455363.pdf,3,1,P003.B01,DOC007.P003.B01,100,127,84.0,54.52,382.06,329.43,"HAVENS REALTY CORP. v. COLEMAN 363 Syllabus (b) Insofar as Coleman and Willis have alleged that the steering practices of petitioners have deprived the two respondents of the bene- fits of interracial association, the Court of Appeals properly held that dismissal was inappropriate at this juncture in the proceedings. It is implausible to argue that petitioners' alleged acts of discrimination could have palpable effects throughout the entire Richmond metropolitan area. But respondents have not identified the particular neighborhoods in which they lived, nor established the proximity of their homes to the site of petitioners' alleged steering practices. In the absence"
