packet_id,doc_id,source_url,page_number,block_number,excerpt_id,citation_token,word_count,token_count,x0,y0,x1,y1,text
packet_3,DOC003,https://cdn.ca9.uscourts.gov/datastore/opinions/2017/08/15/11-56843.pdf,1,1,P001.B01,DOC003[P001.B01],11,19,69.96,52.49,329.43,115.24,FOR PUBLICATION UNITED STATES COURT OF APPEALS FOR THE NINTH CIRCUIT
packet_3,DOC003,https://cdn.ca9.uscourts.gov/datastore/opinions/2017/08/15/11-56843.pdf,1,2,P001.B02,DOC003[P001.B02],13,20,59.04,146.64,241.68,176.6,"T HOMAS  R OBINS , individually and on 
behalf of all others similarly situated,"
packet_3,DOC003,https://cdn.ca9.uscourts.gov/datastore/opinions/2017/08/15/11-56843.pdf,1,3,P001.B03,DOC003[P001.B03],9,26,267.96,146.64,361.72,217.88,"No. 11-56843 D.C. No. 
2:10-cv-05306-
ODW-AGR"
packet_3,DOC003,https://cdn.ca9.uscourts.gov/datastore/opinions/2017/08/15/11-56843.pdf,1,4,P001.B04,DOC003[P001.B04],9,21,59.04,174.12,261.6,245.48,"Plaintiff-Appellant , v. 
S POKEO , I NC ., a California corporation,"
packet_3,DOC003,https://cdn.ca9.uscourts.gov/datastore/opinions/2017/08/15/11-56843.pdf,1,5,P001.B05,DOC003[P001.B05],1,3,299.88,215.52,352.2,259.28,OPINION
packet_3,DOC003,https://cdn.ca9.uscourts.gov/datastore/opinions/2017/08/15/11-56843.pdf,1,6,P001.B06,DOC003[P001.B06],20,35,59.04,243.32,327.48,359.6,"Defendant-Appellee. On Remand from the 
Supreme Court of the United States Argued and Submitted December 13, 2016 San Francisco, California"
packet_3,DOC003,https://cdn.ca9.uscourts.gov/datastore/opinions/2017/08/15/11-56843.pdf,1,7,P001.B07,DOC003[P001.B07],23,45,54.0,357.24,326.16,470.12,"Filed August 15, 2017 Before:  Diarmuid F. O’Scannlain, Susan P. Graber, and Carlos T. Bea, Circuit Judges. Opinion by Judge O’Scannlain"
packet_3,DOC003,https://cdn.ca9.uscourts.gov/datastore/opinions/2017/08/15/11-56843.pdf,2,1,P002.B01,DOC003[P002.B01],6,11,54.0,34.44,245.76,65.84,"2 
R OBINS V . S POKEO"
packet_3,DOC003,https://cdn.ca9.uscourts.gov/datastore/opinions/2017/08/15/11-56843.pdf,2,2,P002.B02,DOC003[P002.B02],1,2,163.68,63.04,234.21,79.9,SUMMARY *
packet_3,DOC003,https://cdn.ca9.uscourts.gov/datastore/opinions/2017/08/15/11-56843.pdf,2,3,P002.B03,DOC003[P002.B03],100,137,54.0,107.69,345.0,482.6,"Article III Standing / Fair Credit Reporting Act On remand from the United States Supreme Court, Spokeo, Inc. v. Robins , 136 S. Ct. 1540 (2016), the panel reversed the district court’s dismissal of an action brought by Thomas Robins against Spokeo, Inc., alleging willful violations of the Fair Credit Reporting Act (“FCRA”); held that Robins’ alleged injuries were sufficiently concrete for the purposes of Article III standing; and concluded that because the alleged injuries were also sufficiently particularized to Robins and caused by Spokeo’s alleged FCRA violations that were redressable in court, Robins adequately alleged the elements necessary for"
