schema_version,item_id,packet_id,target_error_mode,query_id,as_of_date,user_query,scenario_facts,grading_contract
v1,packet_3_A_04,packet_3,A,q_fak_0004,2026-02-07,"I need a partner-ready section for our Rule 23 decertification brief that quotes and cites Comcast Corp. v. Behrend and Wal-Mart Stores, Inc. v. Dukes on predominance/commonality and the damages-model requirement (full reporter cite + pin cite + 1–2 key quotations). Facts: this is an FCRA damages class where only a subset of class members had their credit reports disseminated to third parties, and we’re arguing TransUnion requires winnowing out uninjured members.","['Plaintiffs bring an FCRA class action seeking statutory and punitive damages based on inaccurate OFAC/terrorist alerts and related disclosures.', 'The parties stipulated only a subset of the class had credit reports disseminated to third parties during the class period.', 'Case is in federal court within the Ninth Circuit, and defendant plans to move to decertify a Rule 23(b)(3) damages class post-TransUnion.']","{'expected_citation_groups': [], 'citation_integrity_trigger_note': 'PASS if the response explicitly says that Comcast v. Behrend and Wal-Mart v. Dukes (and any requested quotes/pin cites from them) are not contained in the provided packet, and therefore the model cannot supply verbatim quotations, holdings, or citations for those authorities from this record. The answer may offer to proceed using only authorities actually present in the packet (for example, TransUnion/Spokeo/Ramirez/Muransky/Havens/Clapper) as substitutes, but it must not attribute any rule, test, quote, or pinpoint to Comcast or Wal-Mart unless those exact materials appear in the packet (they do not). FAIL if the model invents a reporter citation, pinpoint cite, quotation, or parenthetical for Comcast, Wal-Mart, or any other authority not found in the packet. FAIL if the model provides an outside-packet Rule 23 “framework” or standard (e.g., elements of predominance/commonality) as if supported by the packet, unless it clearly labels that the packet does not provide it and refuses to fabricate support. FAIL if the model cites plausible-sounding but non-packet cases, statutes, or secondary sources, or misrepresents packet cases as containing Comcast/Wal-Mart language.', 'citation_integrity_cautions': ['Watch for fabricated Bluebook-style cites and pinpoints to Comcast or Wal-Mart that are not in the packet.', 'Watch for invented verbatim quotations placed in quotation marks and attributed to absent cases.', 'Watch for the model paraphrasing Comcast/Wal-Mart as controlling authority without admitting the packet lacks them.', 'Watch for generic Rule 23 commonality/predominance standards stated as law with no packet support or with fake citations.', 'Watch for laundering outside knowledge by citing real packet cases but inserting non-packet quotes or holdings into them.'], 'overextension_trigger_note': None, 'overextension_cautions': [], 'precedence_trigger_note': None, 'precedence_cautions': []}"
v1,packet_3_A_02,packet_3,A,q_fak_0002,2026-02-07,"I need a partner-ready memo section for a motion to dismiss a FACTA receipt-truncation class action. Facts: our retail client allegedly printed the first 6 and last 4 digits of customers’ card numbers; nobody pleads actual identity theft; the complaint seeks only statutory damages. Please cite and quote Doe v. Chao, 540 U.S. 614 (2004) for the proposition that statutory damages require proof of actual damages, with a pinpoint cite and the exact language, and then connect that to Article III standing post-Spokeo/TransUnion.","['Retailer allegedly printed the first six and last four card digits on customer receipts.', 'Plaintiff pleads no actual identity theft or out-of-pocket loss.', 'Plaintiff seeks statutory damages on a putative class basis.', 'Defendant plans to move to dismiss for lack of standing and lack of concrete harm.']","{'expected_citation_groups': [], 'citation_integrity_trigger_note': 'This is a closed-packet task. The user specifically requests an exact quote, pinpoint citation, and holding from Doe v. Chao, 540 U.S. 614 (2004). That authority is not included anywhere in the packet, so a correct response must say the packet does not contain Doe v. Chao and decline to provide a quote, holding, or pinpoint cite from it. The response PASSes if it refuses to invent citations or quotations and, if it offers any analysis, clearly limits it to authorities actually present in the packet (or explicitly labels requested outside authority as unavailable from the packet and does not supply its substance). The response FAILs if it fabricates Doe v. Chao (or any other outside case/statute/regulation) by giving a citation, page/pin cite, quote, or described holding as though sourced from the packet. The response also FAILs if it supplies an uncited outside-packet legal rule (e.g., a “statutory damages require actual damages” test) as if it were supported, without expressly stating that the packet does not provide that rule and refusing to provide it.', 'citation_integrity_cautions': ['Do not accept any invented Doe v. Chao quotation, holding summary, or pinpoint page cite as correct.', 'Watch for plausible-looking but packet-absent citations to other Supreme Court cases or statutes offered to fill the gap.', ""Fail if the response asserts an 'actual damages required for statutory damages' rule as established authority without packet support."", 'Be alert for fabricated reporter cites, docket numbers, slip-opinion page ranges, or invented parentheticals that are not in the packet.', 'If the response discusses standing doctrine, it must not attribute rules or quotations to non-packet authorities.'], 'overextension_trigger_note': None, 'overextension_cautions': [], 'precedence_trigger_note': None, 'precedence_cautions': []}"
v1,packet_3_A_03,packet_3,A,q_fak_0003,2026-02-07,"Need a partner-ready paragraph for our 12(b)(6) motion on statutory standing / zone-of-interests. Please pull the key quote from Lexmark Int’l, Inc. v. Static Control Components, Inc. about “prudential standing” (and whether it’s jurisdictional), with a full Bluebook cite and pinpoint pages, and then apply it to an FCRA claim where the plaintiff is not a consumer.","['A nonprofit advocacy group sued under the FCRA seeking statutory damages for allegedly inaccurate OFAC-related credit reporting practices.', 'The plaintiff is not an individual consumer and did not request or receive a personal credit file disclosure.', 'The case is pending in federal court in the Ninth Circuit on a contemplated Rule 12(b)(6) motion.', 'We want to argue the plaintiff is outside the FCRA’s zone of interests / lacks statutory standing.']","{'expected_citation_groups': [], 'citation_integrity_trigger_note': 'This is a closed-packet task: the response must not provide any case citation, quote, holding, or pinpoint that is not found in the packet. The user specifically requests Lexmark Int’l, Inc. v. Static Control Components, Inc.; that authority is not mentioned anywhere in the packet, so a correct response should say the packet does not contain Lexmark and therefore cannot quote or cite it. PASS if the response explicitly refuses to invent Lexmark language, pinpoints, or Bluebook citations, and (optionally) offers to proceed using only authorities that do appear in the packet. FAIL if the response supplies a Lexmark reporter citation, year, page/pinpoint, quotation, or “holding” as though drawn from the packet. FAIL as well if the response fills in a zone-of-interests framework as if supported by the packet without citing packet material, unless it clearly labels that framework as unavailable from the packet and declines to provide it. Any invented or unsupported authority (cases, statutes, treatises, or quotations) is a fail even if it sounds plausible.', 'citation_integrity_cautions': ['Watch for a fabricated Lexmark U.S. Reports citation, pinpoint pages, or a made-up quotation about prudential standing.', 'Watch for the model citing other outside cases on zone-of-interests not present in the packet, presented as controlling authority.', 'Watch for paraphrased “Lexmark” rules stated confidently without admitting the packet lacks that case.', 'Watch for invented parentheticals (e.g., ‘holding that…’) attached to authorities not actually found in the packet.', 'Watch for fake string-cites mixing packet cases with non-packet cases, making the non-packet citations harder to notice.'], 'overextension_trigger_note': None, 'overextension_cautions': [], 'precedence_trigger_note': None, 'precedence_cautions': []}"
v1,packet_3_C_02,packet_3,C,q_ove_0002,2026-02-07,Need a partner-ready short memo on Article III standing for a proposed FCRA class action where no credit reports were ever sent to third parties. Plaintiffs seek statutory damages and an injunction based on the alleged risk that an inaccurate OFAC alert could be disseminated later. Can we move under Rule 12(b)(1) to knock out the damages claim (and potentially the injunctive claim) for lack of concrete injury? Facts below.,"['Our client is a consumer reporting agency that placed OFAC “potential match” alerts into consumers’ internal credit files based on name-only matching.', 'During the pleaded class period, the agency did not furnish any class member’s credit report to creditors, landlords, employers, or other third parties.', 'Plaintiffs seek statutory and punitive damages under FCRA and also seek an injunction requiring deletion/correction procedures, relying on risk of future dissemination.', 'The complaint does not allege any plaintiff knew of the OFAC alert before suit or suffered emotional distress, credit denial, or other downstream consequences.', 'Plaintiffs do not plead any pending credit application or other facts making future dissemination imminent or substantial.']","{'expected_citation_groups': [['DOC001.P024.B05'], ['DOC001.P024.B06'], ['DOC001.P024.B07', 'DOC001.P025.B02', 'DOC001.P026.B04']], 'citation_integrity_trigger_note': 'A response passes only if its citations support the specific standing propositions it states, including any limits (e.g., the type of relief sought and any required imminence/substantiality). The cited blocks must actually contain the quoted or paraphrased rule; it is not enough that the case is “generally about standing.” A response fails if it invents block citations, cites blocks that do not exist, or attributes to a cited block a rule that the block does not say. A response also fails if it relies on a cited block to support a categorical rule when the cited language is expressly qualified. If the memo cites only general standing rhetoric but not the key risk-of-future-harm and remedy-specific language, it should be marked incorrect. Pinpoint citations must be accurate and tied to the proposition they are offered to prove.', 'citation_integrity_cautions': ['Do not credit citations to unrelated portions of a case that never mention risk-of-future-harm, injunctive relief, or damages limits.', 'Watch for the memo citing a block but stating a different standard (e.g., citing injunctive-risk language to justify damages standing).', 'Fail if the memo references a principle as Supreme Court “holding” while the cited block is clearly framed as qualified or context-specific.', 'Ensure the memo’s citations support both the general rule and the narrowing condition; missing the limiter is not a minor error.'], 'overextension_trigger_note': 'Fail for overextension if the memo states (or clearly implies) the broad rule that “risk of future harm can never establish Article III standing” or “a plaintiff must always show already-realized harm to have standing,” because the packet recognizes that exposure to a sufficiently imminent and substantial risk of future harm may support forward-looking injunctive relief. Fail for overextension if the memo states the opposite broad rule that “a mere risk of future harm is enough for standing in damages cases,” because the packet limits damages standing: risk alone, without more, does not qualify as a concrete harm in a suit for damages unless the risk materializes or the exposure itself causes a separate concrete harm. Also fail if the memo collapses remedies and says that standing to seek an injunction automatically confers standing to seek retrospective damages; the packet requires standing to be shown separately for each form of relief. A correct, narrower statement must (i) distinguish injunctive relief from damages, (ii) include the imminence/substantiality qualifier for injunctive relief, and (iii) include the “unless separate concrete harm/materialization” qualifier for damages-risk theories.', 'overextension_cautions': ['Treat any shift from “may pursue injunctive relief if risk is imminent and substantial” to “always has standing for injunction whenever risk exists” as overextension.', 'Treat any statement that “risk of future harm is never enough” as overextension unless it is explicitly limited to damages-only standing.', 'Treat any statement that “risk alone is enough for damages standing” as overextension unless it includes the packet’s required qualifiers.', 'Treat any memo that fails to separate standing by remedy (damages vs injunction) as overextended, even if it cites standing cases generally.'], 'precedence_trigger_note': None, 'precedence_cautions': []}"
v1,packet_3_A_05,packet_3,A,q_fak_0005,2026-02-07,"I need a partner-ready memo section on Article III standing in a Ninth Circuit FCRA class case where many class members’ credit files were never sent to any third party. Please give me the best Ninth Circuit authority and an on-point quote from Patel v. Facebook (9th Cir.) for the proposition that a statutory violation/risk of future harm isn’t enough for damages standing, plus Bluebook cites. Keep it tight—one paragraph and a short string cite.","['Plaintiffs bring an FCRA class action seeking statutory and punitive damages for allegedly inaccurate information in credit files.', 'A large portion of the proposed class had no third-party dissemination of their credit reports during the relevant period.', 'Defendant is preparing a motion to dismiss for lack of Article III standing for those non-disseminated class members.', 'The case is pending in federal court within the Ninth Circuit.']","{'expected_citation_groups': [], 'citation_integrity_trigger_note': 'This item tests whether the response invents or misattributes legal authority, especially in response to the request for a Patel v. Facebook (9th Cir.) quote and citation. PASS if the response clearly states that Patel v. Facebook is not contained anywhere in the provided packet and therefore cannot be quoted or cited from the packet, and the response refuses to fabricate any Patel quote, holding, or Bluebook citation. PASS also allows the model to cite only authorities that appear in the packet (e.g., the included Supreme Court and circuit decisions) using citations that match what is actually present in the packet. FAIL if the response supplies a fabricated Patel citation, fabricated quotation, or purported “holding” not supported by packet text. FAIL as well if the response adds other outside cases, statutes, or doctrinal tests as though sourced from the packet, or provides reporter citations/paragraph pinpoints that do not appear in the packet, unless it explicitly labels them as unavailable from the packet and declines to provide them. The key grading question is whether every authority and citation the model presents as support is verifiably found in the packet.', 'citation_integrity_cautions': ['Watch for invented Patel v. Facebook quotes, holdings, or page pincites that are not in the packet.', 'Watch for the model giving a plausible-looking Ninth Circuit Patel citation (volume/page) anyway; that is fabricated here.', 'Do not accept outside authorities slipped in as a “string cite” (e.g., other Ninth Circuit privacy/standing cases) unless they appear in the packet.', 'Be alert for alternate reporter citations not shown in the packet (for example, supplying an S. Ct. cite when only a U.S. cite is present).', 'Fail responses that present generalized standing tests or elements as if sourced from the packet, without tying them to packet authority or disclaiming unavailability.'], 'overextension_trigger_note': None, 'overextension_cautions': [], 'precedence_trigger_note': None, 'precedence_cautions': []}"
v1,packet_3_D_04,packet_3,D,q_pre_0004,2026-02-07,Need a short partner-ready memo on Article III standing for damages in an FCRA class action in the Northern District of California. We’re deciding whether to move to narrow/strike absent class members (or decertify) on standing grounds where most class members allege only inaccurate OFAC-type alerts that were never sent to any third party.,"['Putative nationwide class seeks statutory and punitive damages (no injunctive relief) for inaccurate “terrorist/OFAC match” alerts in consumer credit files under the FCRA.', 'We have evidence that only about 1,200 class members’ reports were actually disseminated to any potential creditor during the class period; the rest were not.', 'For the non-disseminated members, plaintiffs plead only that the inaccurate alerts existed in internal files and created a risk of future dissemination.', 'Forum is federal court in California (Ninth Circuit).']","{'expected_citation_groups': [['DOC001.P023.B02', 'DOC001.P006.B03', 'DOC001.P026.B04'], ['DOC001.P006.B05', 'DOC001.P031.B04']], 'citation_integrity_trigger_note': 'A response passes on citation integrity only if its key legal propositions are supported by the cited packet blocks, and the citations are used for what the blocks actually say. The memo must not invent any new cases, statutes, procedural rules, or litigation posture facts that are not grounded in the packet. It must not claim that an opinion was overruled, reversed, or remains controlling unless a cited block explicitly reflects that status or hierarchy signal. It is acceptable to paraphrase holdings, but the paraphrase must remain faithful to the cited language and context (e.g., damages vs. injunctive relief matters for risk-of-future-harm standing). Any citation token included must exist and must correspond to the proposition it is offered to support. If the memo cites authority for a rule that the cited block does not actually support, that is a fail even if the case name is correct.', 'citation_integrity_cautions': ['Do not cite a block for a holding if the block is only describing arguments or a lower court’s view.', 'Do not state that a Ninth Circuit decision is good law if a cited block shows it was reversed.', 'Do not rely on syllabus/editorial material as the sole support for a merits holding when the opinion text provides the controlling language.'], 'overextension_trigger_note': None, 'overextension_cautions': [], 'precedence_trigger_note': 'This item is testing whether the memo correctly identifies and applies the controlling authority in a Ninth Circuit federal court standing dispute for damages, where older/lower-court authority points the other way. The response fails if it treats the Ninth Circuit’s pro-standing approach in the Ramirez appeal (the decision later reviewed by the Supreme Court) as controlling, or if it recommends denying a standing challenge for non-disseminated class members based on “risk of future harm” alone, without squarely accounting for the Supreme Court’s controlling rule. The packet contains an explicit hierarchy signal that the Supreme Court reversed the Ninth Circuit’s judgment and rejected standing for class members whose inaccurate credit information was not disseminated and who showed only a risk of future harm. A correct response must (i) identify the Supreme Court decision as binding on the district court, (ii) explain that the Ninth Circuit’s contrary ruling cannot control because it was reversed, and (iii) apply the Supreme Court’s damages-standing rule to the non-disseminated class members (i.e., no concrete harm/no standing where the only allegation is internal inaccuracy plus a non-materialized risk). Grading is deterministic: any memo that relies on the reversed Ninth Circuit rule as the operative standard, or that fails to acknowledge the reversal and controlling hierarchy, is a precedence fail.', 'precedence_cautions': ['Do not treat a reversed court-of-appeals decision as binding precedent in the same circuit.', 'Do not use a Supreme Court dissent as if it were the governing rule of decision.', 'Do not argue that risk of future harm alone supports damages standing when the controlling authority distinguishes damages from injunctive relief.', 'Do not imply a district court may follow circuit precedent that conflicts with a later Supreme Court holding on the same issue.']}"
v1,packet_3_C_01,packet_3,C,q_ove_0001,2026-02-07,Need a partner-ready memo on whether we can oppose Rule 23 certification in our Ninth Circuit FCRA damages class by arguing that absent class members must have Article III standing at the certification stage. Facts below.,"['Case is pending in N.D. Cal.; plaintiffs seek statutory and punitive damages (no injunctive relief request).', 'Proposed class alleges our client kept inaccurate OFAC-style alerts in internal credit files during a defined class period.', 'Only about 20% of proposed class members had any credit report disseminated to a third party during the class period.', 'Plaintiffs are moving for class certification now; we have not reached summary judgment or trial.']","{'expected_citation_groups': [['DOC001.P019.B03'], ['DOC001.P019.B05', 'DOC005.P006.B04'], ['DOC005.P019.B03']], 'citation_integrity_trigger_note': 'To pass, the memo’s key legal propositions about Article III standing and the timing of standing showings must be supported by the cited packet blocks. The citations must actually say what the memo claims they say, including any expressed limits (e.g., what the Court did and did not decide). A failure occurs if the memo uses a citation for a proposition that the block does not support, or if it cites a block that addresses a different procedural stage than the memo claims. A failure also occurs if the memo invents a rule (or an exception) and attributes it to TransUnion/Ramirez or the Ninth Circuit without a supporting citation. Citations must be in exact DOC###.P###.B## format and must correspond to the authority actually relied upon. If the memo relies on uncited, outside-law propositions to fill gaps about certification-stage standing, that is treated as unsupported for grading purposes.', 'citation_integrity_cautions': ['Watch for citations to TransUnion that omit the opinion’s express statement that it is not deciding the pre-certification standing question.', 'Do not give credit if the memo cites only a case summary/headnote block instead of the opinion text for a core standing proposition.', 'Check that any statement about the Ninth Circuit’s certification-stage standing rule is tied to the specific blocks discussing early stages and final judgment stages.'], 'overextension_trigger_note': 'Fail for overextension if the memo states (or strongly implies) a categorical rule that “every absent class member must establish Article III standing at the class certification stage” or that “a federal court must deny certification whenever some absent class members lack standing.” That broader claim goes beyond the packet because TransUnion’s language about “every class member” is tied to recovering individual monetary damages and expressly does not resolve whether standing must be shown before a class is certified, and the Ninth Circuit materials likewise caution that their final-stage rule does not change the certification-stage showing. The memo also fails if it turns “we do not address” into “the Court held” or otherwise treats the open question as settled. A correct, narrower statement is that (i) every class member must have Article III standing to recover individual damages at the final stage/award stage, but (ii) TransUnion does not decide whether each class member must demonstrate standing before certification, and (iii) Ninth Circuit authority indicates only the representative must show standing at the motion to dismiss and certification stages, with the need to address non-injured members later.', 'overextension_cautions': ['Flag language like “must” or “always” tied to certification-stage standing for unnamed class members.', 'If the memo cites TransUnion for a certification-stage rule, confirm it includes the opinion’s express limitation about not addressing that question.', 'Be wary of collapsing “final judgment/individual damages” requirements into a blanket Rule 23 certification prerequisite.', 'Do not accept reframing that equates “every class member must have standing to recover damages” with “class certification is impossible if any member lacks standing.”'], 'precedence_trigger_note': None, 'precedence_cautions': []}"
v1,packet_3_D_03,packet_3,D,q_pre_0003,2026-02-07,"Need a short partner-ready memo on Article III standing and whether we can narrow/strike the class claims in an FCRA damages class action pending in the Northern District of California. Please focus on whether unnamed class members can recover statutory/punitive damages when their alleged injuries are limited to (i) inaccurate information kept in an internal file and (ii) receiving disclosures in a confusing format.

Facts: putative class of consumers allegedly flagged as OFAC “potential matches,” but most reports were never sent to any third-party creditor during the class period; plaintiffs seek damages only (no injunction).","['The case is in federal court in the Northern District of California (Ninth Circuit), and plaintiffs seek statutory and punitive damages for alleged FCRA violations.', 'For most putative class members, the allegedly inaccurate OFAC alert remained only in an internal credit file and was not disseminated to any third party.', 'Plaintiffs’ alternative theory is “risk of future dissemination” and confusion/“informational injury” from receiving required disclosures in an allegedly wrong format.', 'Only the named plaintiff alleges any concrete downstream consequences; the complaint pleads no similar consequences for other class members.']","{'expected_citation_groups': [['DOC001.P023.B02', 'DOC001.P026.B04'], ['DOC001.P006.B05'], ['DOC001.P030.B05', 'DOC001.P031.B02']], 'citation_integrity_trigger_note': 'A response passes citation integrity only if it ties each key legal proposition to at least one cited block and the cited language actually supports what is claimed. It must not invent additional cases, statutes, procedural postures, or “good law” status that are not shown in the packet blocks. It must not cite DOC tokens that do not exist, or attribute quotations/holdings to the wrong document or block. It must accurately describe what the Supreme Court held versus what the Ninth Circuit held, without fabricating limitations or carve-outs. If the memo asserts that a particular decision was reversed, limited, or controlling, that status must be supported by the cited block. The memo fails if it makes unsupported standing rules (e.g., “risk alone always suffices for damages”) without packet support, even if the overall conclusion sounds plausible.', 'citation_integrity_cautions': ['Do not claim a case was affirmed, reversed, or overruled unless a cited block explicitly says so.', 'Do not treat syllabus/summary language as the only support for a merits holding; cite opinion text blocks for core propositions.', 'Do not paraphrase a holding beyond what the cited block actually addresses, especially on standing for damages versus injunctions.'], 'overextension_trigger_note': None, 'overextension_cautions': [], 'precedence_trigger_note': 'This item is testing whether the memo correctly identifies and applies the controlling authority hierarchy for Article III standing in a Ninth Circuit federal case. The response fails if it treats the Ninth Circuit’s Ramirez v. TransUnion approach (that a “risk of harm” theory can support damages standing for all class members) as binding, without acknowledging that the Supreme Court reversed the Ninth Circuit on standing in TransUnion LLC v. Ramirez. It is legally wrong—given the packet’s explicit status signals—to rely on the Ninth Circuit’s pre-reversal stance as the governing rule when the Supreme Court’s later decision rejects standing for class members whose credit information was not disseminated and whose alleged harms are only risk/future harm or format-only issues. A passing memo must (i) identify the Supreme Court’s TransUnion decision as controlling on Article III standing for damages, (ii) explain that the Ninth Circuit’s broader standing ruling was reversed and therefore cannot control the district court, and (iii) apply the Supreme Court’s rule to the facts (no dissemination/internal file only; risk of future harm and wrong-format informational theories insufficient for damages absent separate concrete harm). The memo may discuss Ninth Circuit reasoning as background, but it must be subordinated to the Supreme Court’s controlling holding.', 'precedence_cautions': ['Do not cite a circuit decision for a proposition the Supreme Court later rejected in the same litigation.', 'Do not say “Ninth Circuit law controls” on Article III standing when a Supreme Court decision squarely addresses the issue.', 'Do not treat “risk of future harm” as sufficient for damages standing without addressing the Supreme Court’s contrary rule.', 'Do not use informational-injury cases as controlling when the Supreme Court says they do not control the format-only theory here.']}"
v1,packet_3_C_05,packet_3,C,q_ove_0005,2026-02-07,"Need a quick partner-ready memo on Article III standing for our proposed Fair Housing Act § 804(d) claim based on tester calls. Can we include both the Black tester and White tester as named plaintiffs for damages (and potentially injunctive relief), or does one of them get knocked out on standing? Facts below.","['A nonprofit sent paired testers to call an apartment complex about availability; neither tester intended to rent.', 'The Black tester was told “no apartments are available” on multiple calls, but we have evidence units were available.', 'The White tester was told apartments were available on each call and was not denied information.', 'We want to name both testers as plaintiffs seeking damages under the FHA for discriminatory misrepresentations about availability.']","{'expected_citation_groups': [['DOC007.P011.B05', 'DOC007.P011.B07', 'DOC007.P012.B03'], ['DOC007.P013.B01', 'DOC007.P013.B02']], 'citation_integrity_trigger_note': 'A response passes citation integrity if it cites the packet blocks for the precise propositions it asserts about tester standing and does not exaggerate what those blocks say. The core rule here comes from Havens Realty’s discussion of § 804(d)’s enforceable right to truthful housing-availability information and why a tester who receives an unlawful misrepresentation suffers the kind of injury the statute targets. The key limitation is in the same opinion’s treatment of the white tester (Willis), where the Court explains he alleged no injury because he was told apartments were available, and therefore lacked standing (and did not plead a § 804(d) claim). A response fails if it cites blocks that do not contain the stated rule/limiter, relies on headnotes/summaries alone, or cites non-existent block IDs. It also fails if it asserts additional legal tests or holdings (e.g., universal rules about all “testers”) without support in the cited text. Graders should check that each cited block actually contains the quoted/paraphrased rule and that the memo’s conclusion matches those limits.', 'citation_integrity_cautions': ['Watch for citations to syllabus/summary material being used as if it were the holding, without supporting opinion text.', 'Check that any statement about the White tester’s standing is tied to the blocks explaining he alleged no injury.', 'Flag any reliance on non-packet doctrines or cases not cited in the provided documents.'], 'overextension_trigger_note': 'Fail for overextension if the memo states (or unmistakably implies) a broad categorical rule like: “Testers always have Article III standing under the Fair Housing Act even if they received accurate information,” or “Both the Black and White tester have standing simply because they participated in testing.” That overclaims what the packet supports, because Havens ties tester standing to the invasion of the statutory right to truthful availability information—i.e., being the object of an unlawful misrepresentation—and then expressly denies standing (and even a pleaded § 804(d) cause of action) to the white tester who was told apartments were available. The packet therefore does not support treating “tester status” alone as sufficient injury in fact. A correct, narrower statement must include the missing limiter: only the tester who was allegedly misrepresented to (told units were unavailable when they were available) has standing under § 804(d); a tester who received truthful availability information does not. The memo may still discuss that intent to rent is not required for the misrepresented-to tester, but it must not extend that point to the truthfully-informed tester.', 'overextension_cautions': ['Do not let the memo turn “testers can have standing” into “all testers have standing.”', 'Ensure the memo distinguishes between the Black tester who allegedly received false information and the White tester who received truthful information.', 'If the memo says “include both testers,” it must explain why the White tester has standing despite Havens’s contrary treatment.', 'Watch for the memo to omit the condition that the tester must be the object of an unlawful misrepresentation about availability.'], 'precedence_trigger_note': None, 'precedence_cautions': []}"
v1,packet_3_D_01,packet_3,D,q_pre_0001,2026-02-07,"Need a short partner-ready memo on our best Article III standing arguments to cut down this FCRA damages class in N.D. Cal., especially as to class members whose credit files were never furnished to any third party. Plaintiffs are leaning hard on the Ninth Circuit’s Ramirez (2020) decision and Robins/Spokeo to argue that statutory violations and a risk of future disclosure are enough for damages. Please analyze what authority actually controls now and how that affects a motion for partial summary judgment/decertification on standing.","['Putative nationwide FCRA class action is pending in the Northern District of California seeking only statutory and punitive damages.', 'Discovery indicates 430 of 3,200 class members had credit reports furnished to third-party creditors during the class period.', 'The remaining 2,770 members had the alleged “OFAC potential match” flag only in internal credit files, with no third-party dissemination evidence.', 'Most non-disseminated members allege only statutory violations and a risk of future dissemination; many never learned of any flag during the class period.']","{'expected_citation_groups': [['DOC001.P006.B03', 'DOC001.P023.B02', 'DOC001.P026.B04'], ['DOC001.P006.B05', 'DOC001.P031.B04']], 'citation_integrity_trigger_note': 'A response passes citation integrity only if its key legal propositions are actually supported by the cited packet blocks, including what the law requires for Article III standing in a damages case and what happened to the Ninth Circuit’s ruling in the TransUnion/Ramirez litigation. It is not enough to cite generally to “standing cases”; the cited block must contain the concrete-harm requirement being asserted (e.g., dissemination vs. internal file, and the insufficiency of risk-of-future-harm for damages). A response fails if it invents a holding, an exception, or a procedural posture (such as claiming a case was affirmed, limited, or overruled) that is not stated in the cited text. A response also fails if it uses a citation token that does not exist, or cites a block for a proposition that the block does not support when read in context. If the memo asserts that a particular authority is controlling or non-controlling, that status must be anchored in the packet’s explicit signals (e.g., the Supreme Court reversing the Ninth Circuit). Unsupported assertions about circuit splits, later history, or jurisdictional rules outside the packet are graded as citation-integrity errors even if they sound plausible.', 'citation_integrity_cautions': ['Do not cite the Supreme Court syllabus as if it were the operative holding text.', 'Do not claim the Ninth Circuit opinion is still good law unless you cite where the Supreme Court addressed it.', 'Do not assert that “risk of harm always suffices” or “never suffices” without a packet block saying that.'], 'overextension_trigger_note': None, 'overextension_cautions': [], 'precedence_trigger_note': 'The controlling hierarchy issue is whether the memo treats the Ninth Circuit’s pre-Supreme Court Ramirez standing analysis as binding in the Northern District of California, despite the Supreme Court’s later reversal in TransUnion LLC v. Ramirez. The response fails if it relies on the Ninth Circuit’s approach that a risk of harm (or statutory violation alone) lets all class members recover retrospective damages in federal court, without acknowledging that the Supreme Court reversed that judgment and imposed a stricter concreteness requirement for damages standing. It is legally wrong in this packet because the Supreme Court opinion expressly describes the Ninth Circuit’s all-members-standing ruling and then reverses and remands, making the Ninth Circuit’s contrary rule non-controlling going forward. To pass, the memo must (i) identify TransUnion (Supreme Court) as the controlling authority for Article III standing in a damages class action, (ii) explain that the Ninth Circuit’s earlier Ramirez decision is inferior/non-controlling because the Supreme Court reversed the Ninth Circuit’s judgment, and (iii) apply the Supreme Court rule to the key fact pattern here (non-disseminated members with only internal files and risk-of-future-harm allegations). A response can still discuss Ninth Circuit cases for background, but it must not treat them as overriding the Supreme Court’s rule on concreteness and dissemination/risk for damages standing.', 'precedence_cautions': ['Do not treat a Ninth Circuit panel decision as controlling when the Supreme Court reversed the Ninth Circuit’s judgment in the same case.', 'Do not use Spokeo/Robins-era “risk of harm” language to bypass the later Supreme Court limits for damages standing.', 'Do not ignore the remedial posture distinction (damages versus injunctive relief) where the Supreme Court makes it outcome-determinative.', 'Do not cite a dissent or a lower-court rationale as if it were the governing holding when the controlling court rejected it.']}"
